section,sweep_param,sweep_value,sweep_label,param_B,value_B,signed_bias,cmro2_bias,cmro2_rel_bias,cmro2_mean,cmro2_std,R0_mean,pves_mean,pO2_abs_err,pO2_rel_err,spread
CROSS,obs_std,3.25,3.25,cmro2_std,0.1,-0.20890904699642965,0.20890904699642965,,,0.12654884501847954,,,4.572498430537825,,
CROSS,obs_std,3.25,3.25,cmro2_std,0.325,-0.18553290662064992,0.18553290662064992,,,0.15821569627707507,,,4.285148556873467,,
CROSS,obs_std,3.25,3.25,cmro2_std,0.55,-0.2133270017108142,0.2133270017108142,,,0.15230425261813352,,,4.689957187245215,,
CROSS,obs_std,3.25,3.25,cmro2_std,0.775,-0.2514586701435082,0.2514586701435082,,,0.16377168011874638,,,5.008343285476505,,
CROSS,obs_std,3.25,3.25,cmro2_std,1.0,-0.26208809204154804,0.26208809204154804,,,0.1411901786120329,,,4.8705250835867115,,
CROSS,obs_std,5.5,5.50,cmro2_std,0.1,-0.14933841043108753,0.14933841043108753,,,0.120293570563009,,,4.079265251577737,,
CROSS,obs_std,5.5,5.50,cmro2_std,0.325,-0.15721611103091382,0.15721611103091382,,,0.15595795072777224,,,4.17595710994768,,
CROSS,obs_std,5.5,5.50,cmro2_std,0.55,-0.19149700955785365,0.19149700955785365,,,0.1774803880910984,,,4.377960111226908,,
CROSS,obs_std,5.5,5.50,cmro2_std,0.775,-0.20998101328046914,0.20998101328046914,,,0.18647956581474964,,,4.805478715621477,,
CROSS,obs_std,5.5,5.50,cmro2_std,1.0,-0.14511162438268466,0.14511162438268466,,,0.18069947742851036,,,4.207025287310391,,
CROSS,obs_std,7.75,7.75,cmro2_std,0.1,-0.12962456114629894,0.12962456114629894,,,0.15704446832192992,,,4.681937853317947,,
CROSS,obs_std,7.75,7.75,cmro2_std,0.325,-0.1516475982224179,0.1516475982224179,,,0.1810339648971516,,,4.403758690276805,,
CROSS,obs_std,7.75,7.75,cmro2_std,0.55,-0.13766950538302547,0.13766950538302547,,,0.1899223411628517,,,4.2979807238467975,,
CROSS,obs_std,7.75,7.75,cmro2_std,0.775,-0.15754163491961792,0.15754163491961792,,,0.1813887249886817,,,4.596671087429464,,
CROSS,obs_std,7.75,7.75,cmro2_std,1.0,-0.10435262792220357,0.10435262792220357,,,0.19442019723070011,,,4.28447312888883,,
CROSS,obs_std,10.0,10.00,cmro2_std,0.1,-0.10511254773319134,0.10511254773319134,,,0.13197562037450397,,,4.363109739697112,,
CROSS,obs_std,10.0,10.00,cmro2_std,0.325,-0.1767495957937153,0.1767495957937153,,,0.20085760277627954,,,4.286171453971861,,
CROSS,obs_std,10.0,10.00,cmro2_std,0.55,-0.151771688526805,0.151771688526805,,,0.21094286852277713,,,4.395682378576106,,
CROSS,obs_std,10.0,10.00,cmro2_std,0.775,-0.11854215118610067,0.11854215118610067,,,0.2085781109035341,,,4.213992416086032,,
CROSS,obs_std,10.0,10.00,cmro2_std,1.0,-0.13076132499573712,0.13076132499573712,,,0.2511814610277803,,,4.932079502179931,,
OAT,R0_std,2.0,2.0,,,-0.33992627276256737,0.33992627276256737,16.99631362963021,2.3399262727625674,0.1262288692489618,96.71767106511088,78.69495835019059,4.531865362768983,11.47875825071375,0.1255961391028911
OAT,R0_std,4.0,4.0,,,-0.31795911517645825,0.31795911517645825,15.897955750873935,2.3179591151764583,0.18079479295636666,97.11233313933603,78.77094435455604,4.273334235865157,10.842303455708095,0.1798885476858772
